VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83090319  1.849E+01  1.849E+01  3.083E+00 -9.999E+99  1.213E-01 -9.999E+99  3.802E+00  2.938E-01  2.123E-01  2.004E-02 -8.342E+06  1.216E+08 -7.334E+06
83090323  1.841E+01  1.841E+01  3.162E+00 -9.999E+99  1.413E-01 -9.999E+99 -9.999E+99  2.938E-01  2.023E-01  3.006E-02 -8.812E+06  1.215E+08 -7.327E+06
83090403  1.841E+01  1.841E+01  3.048E+00 -9.999E+99  1.312E-01 -9.999E+99  3.864E+00  3.034E-01  2.323E-01  2.004E-02 -9.281E+06  1.214E+08 -7.320E+06
83090407  1.849E+01  1.841E+01  3.999E+00 -9.999E+99  1.514E-01 -9.999E+99  3.802E+00  2.838E-01  2.323E-01  1.002E-02 -9.751E+06  1.213E+08 -7.313E+06
83090411  1.841E+01  1.862E+01  3.090E+00 -9.999E+99  1.213E-01 -9.999E+99  3.837E+00  2.636E-01  2.427E-01  1.002E-02 -1.022E+07  1.212E+08 -7.306E+06
83090415  1.841E+01  1.841E+01  3.622E+00 -9.999E+99  1.413E-01 -9.999E+99  3.846E+00  2.938E-01  2.427E-01  2.004E-02 -1.069E+07  1.211E+08 -7.299E+06
83090419  1.849E+01  1.849E+01  3.013E+00 -9.999E+99  1.413E-01 -9.999E+99  3.828E+00  2.938E-01  2.223E-01  1.002E-02 -1.117E+07  1.209E+08 -7.292E+06
83090423  1.849E+01  1.849E+01  3.048E+00 -9.999E+99  1.312E-01 -9.999E+99  3.999E+00  3.034E-01  2.223E-01  2.004E-02 -1.164E+07  1.208E+08 -7.285E+06
83090503  1.849E+01  1.849E+01  3.027E+00 -9.999E+99  1.413E-01 -9.999E+99  3.811E+00  3.236E-01  2.323E-01  1.002E-02 -1.211E+07  1.207E+08 -7.277E+06
83090507  1.849E+01  1.849E+01  4.875E+00 -9.999E+99  1.514E-01 -9.999E+99  3.899E+00  3.436E-01  2.323E-01  2.004E-02 -1.258E+07  1.206E+08 -7.270E+06
83090511  1.849E+01 -9.999E+99  4.121E+00 -9.999E+99  1.312E-01 -9.999E+99  3.846E+00  3.540E-01  2.427E-01  2.004E-02 -1.305E+07  1.205E+08 -7.262E+06
83090515  1.849E+01  1.841E+01  3.041E+00 -9.999E+99  1.312E-01 -9.999E+99  3.999E+00  3.750E-01  2.523E-01  2.004E-02 -1.352E+07  1.204E+08 -7.255E+06
83090519  1.862E+01  1.862E+01  3.443E+00 -9.999E+99  1.312E-01 -9.999E+99  3.899E+00  3.945E-01  2.523E-01  3.006E-02 -1.399E+07  1.202E+08 -7.247E+06
83090523  1.862E+01  1.849E+01  5.445E+00 -9.999E+99  1.514E-01 -9.999E+99  3.963E+00  4.446E-01  2.223E-01  3.006E-02 -1.446E+07  1.201E+08 -7.239E+06
83090603  1.862E+01  1.862E+01  5.662E+00 -9.999E+99  1.413E-01 -9.999E+99  3.936E+00  4.150E-01  2.427E-01  2.004E-02 -1.493E+07  1.200E+08 -7.231E+06
83090611  1.849E+01  1.849E+01  1.030E+01 -9.999E+99  1.413E-01 -9.999E+99  3.899E+00  3.597E-01  2.477E-01  2.506E-02 -1.587E+07  1.197E+08 -7.214E+06
83090615  1.862E+01  1.862E+01  3.214E+00 -9.999E+99  1.413E-01 -9.999E+99  3.882E+00  3.236E-01  2.427E-01  2.004E-02 -1.634E+07  1.196E+08 -7.206E+06
83090619  1.862E+01  1.871E+01  3.381E+00 -9.999E+99  1.514E-01 -9.999E+99  3.890E+00  3.236E-01  2.427E-01  3.006E-02 -1.681E+07  1.195E+08 -7.198E+06
83090623  1.862E+01  1.871E+01  3.119E+00 -9.999E+99  1.213E-01 -9.999E+99  3.828E+00  2.838E-01  2.323E-01  2.004E-02 -1.728E+07  1.193E+08 -7.189E+06
83090703  1.862E+01  1.862E+01  3.373E+00 -9.999E+99  1.213E-01 -9.999E+99  3.802E+00  2.636E-01  2.427E-01  1.002E-02 -1.775E+07  1.192E+08 -7.180E+06
83090707  1.871E+01  1.871E+01  3.243E+00 -9.999E+99  1.213E-01 -9.999E+99  3.873E+00  2.523E-01  2.323E-01  2.004E-02 -1.822E+07  1.191E+08 -7.171E+06
83090711  1.879E+01  1.879E+01  3.656E+00 -9.999E+99  1.213E-01 -9.999E+99  3.908E+00  2.838E-01  2.427E-01  2.004E-02 -1.869E+07  1.189E+08 -7.162E+06
83090715  1.879E+01  1.879E+01  3.170E+00 -9.999E+99  1.312E-01 -9.999E+99  3.819E+00  2.636E-01  2.323E-01  2.004E-02 -1.916E+07  1.188E+08 -7.153E+06
83090719  1.879E+01  1.879E+01  3.451E+00 -9.999E+99  1.312E-01 -9.999E+99  3.864E+00  2.636E-01  2.427E-01  1.002E-02 -1.963E+07  1.186E+08 -7.144E+06
83090723  1.879E+01  1.888E+01  3.357E+00 -9.999E+99  1.312E-01 -9.999E+99  3.802E+00  2.523E-01  2.223E-01  1.002E-02 -2.010E+07  1.185E+08 -7.135E+06
83090803  1.879E+01 -9.999E+99  2.979E+00 -9.999E+99  1.213E-01 -9.999E+99  3.882E+00  2.938E-01  2.323E-01  2.004E-02 -2.057E+07  1.183E+08 -7.126E+06
83090807  1.879E+01  1.888E+01  3.062E+00 -9.999E+99  1.312E-01 -9.999E+99  3.981E+00  2.735E-01  2.427E-01  2.004E-02 -2.104E+07  1.182E+08 -7.116E+06
83090811  1.879E+01  1.888E+01  3.097E+00 -9.999E+99  1.312E-01 -9.999E+99  3.767E+00  2.735E-01  2.427E-01  3.006E-02 -2.150E+07  1.180E+08 -7.106E+06
83090815  1.871E+01  1.879E+01  3.062E+00 -9.999E+99  1.312E-01 -9.999E+99  3.899E+00  2.427E-01  2.427E-01  2.004E-02 -2.197E+07  1.179E+08 -7.096E+06
83090819  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.112E-01 -9.999E+99  3.802E+00  2.427E-01  2.427E-01  2.004E-02 -2.244E+07  1.177E+08 -7.086E+06
83090823  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.828E+00  2.523E-01  2.323E-01  2.004E-02 -2.291E+07  1.175E+08 -7.076E+06
83090903  1.871E+01  1.871E+01  3.090E+00 -9.999E+99  1.213E-01 -9.999E+99  3.882E+00  2.223E-01  2.223E-01  2.004E-02 -2.337E+07  1.174E+08 -7.066E+06
83090907  1.871E+01  1.871E+01  3.097E+00 -9.999E+99  1.213E-01 -9.999E+99  3.899E+00  2.523E-01  2.427E-01  2.004E-02 -2.384E+07  1.172E+08 -7.056E+06
83090911  1.871E+01  1.871E+01  3.020E+00 -9.999E+99  1.213E-01 -9.999E+99  3.846E+00  2.636E-01  2.323E-01  2.004E-02 -2.431E+07  1.170E+08 -7.045E+06
83090915  1.871E+01  1.871E+01  4.624E+00 -9.999E+99  1.312E-01 -9.999E+99  3.837E+00  2.323E-01  2.123E-01  2.004E-02 -2.477E+07  1.169E+08 -7.035E+06
83090919  1.862E+01  1.871E+01  4.385E+00 -9.999E+99  1.312E-01 -9.999E+99  3.828E+00  2.427E-01  2.323E-01  2.004E-02 -2.524E+07  1.167E+08 -7.024E+06
83090923  1.871E+01  1.871E+01  3.750E+00 -9.999E+99  1.312E-01 -9.999E+99  3.767E+00  2.323E-01  2.223E-01  1.002E-02 -2.571E+07  1.165E+08 -7.013E+06
83091003  1.871E+01  1.871E+01  3.304E+00 -9.999E+99  1.413E-01 -9.999E+99  3.908E+00  2.323E-01  2.427E-01  2.004E-02 -2.617E+07  1.163E+08 -7.002E+06
83091007  1.871E+01  1.871E+01  3.483E+00 -9.999E+99  1.112E-01 -9.999E+99  3.864E+00  2.523E-01  2.323E-01  1.002E-02 -2.663E+07  1.162E+08 -6.991E+06
83091011  1.879E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.837E+00  2.427E-01  2.523E-01  1.002E-02 -2.710E+07  1.160E+08 -6.979E+06
83091015  1.879E+01 -9.999E+99  3.802E+00 -9.999E+99  1.213E-01 -9.999E+99  3.873E+00  2.427E-01  2.123E-01  2.004E-02 -2.756E+07  1.158E+08 -6.968E+06
83091019  1.871E+01  1.871E+01  3.112E+00 -9.999E+99  1.312E-01 -9.999E+99  3.837E+00  2.523E-01  2.427E-01  2.004E-02 -2.802E+07  1.156E+08 -6.956E+06
83091023  1.879E+01  1.871E+01  3.097E+00 -9.999E+99  1.112E-01 -9.999E+99  3.917E+00  2.523E-01  2.427E-01  2.004E-02 -2.849E+07  1.154E+08 -6.945E+06
83091103  1.879E+01  1.871E+01  3.311E+00 -9.999E+99  1.112E-01 -9.999E+99  3.899E+00  2.323E-01  2.323E-01  2.004E-02 -2.895E+07  1.152E+08 -6.933E+06
83091107  1.879E+01  1.871E+01  3.258E+00 -9.999E+99  1.213E-01 -9.999E+99  3.890E+00  2.427E-01  2.323E-01  1.002E-02 -2.941E+07  1.150E+08 -6.921E+06
83091111  1.862E+01  1.871E+01  3.614E+00 -9.999E+99  1.312E-01 -9.999E+99  3.936E+00  2.523E-01  2.223E-01  1.002E-02 -2.987E+07  1.148E+08 -6.908E+06
83091115  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.864E+00  2.323E-01  2.223E-01  2.004E-02 -3.033E+07  1.146E+08 -6.896E+06
83091119  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.802E+00  2.123E-01  2.323E-01  1.002E-02 -3.079E+07  1.144E+08 -6.883E+06
83091123  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.776E+00  2.427E-01  2.223E-01  1.002E-02 -3.125E+07  1.142E+08 -6.871E+06
83091203  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.758E+00  2.223E-01  2.223E-01  2.004E-02 -3.171E+07  1.140E+08 -6.858E+06
83091207  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.819E+00  2.427E-01  2.223E-01  2.004E-02 -3.217E+07  1.138E+08 -6.845E+06
83091211  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.864E+00  2.523E-01  2.427E-01  2.004E-02 -3.263E+07  1.136E+08 -6.832E+06
83091215  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.936E+00  2.523E-01  2.323E-01  1.002E-02 -3.308E+07  1.134E+08 -6.819E+06
83091219  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.846E+00  2.523E-01  2.123E-01  2.004E-02 -3.354E+07  1.132E+08 -6.805E+06
83091223  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.758E+00  2.427E-01  2.427E-01  2.004E-02 -3.399E+07  1.130E+08 -6.791E+06
83091303  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.954E+00  2.636E-01  2.323E-01  2.004E-02 -3.445E+07  1.128E+08 -6.777E+06
83091307  1.871E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.873E+00  2.523E-01  2.223E-01  1.002E-02 -3.490E+07  1.126E+08 -6.763E+06
83091311  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.828E+00  2.735E-01  2.427E-01  2.004E-02 -3.536E+07  1.123E+08 -6.749E+06
83091315  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.793E+00  2.523E-01  2.323E-01  1.002E-02 -3.581E+07  1.121E+08 -6.735E+06
83091319  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.112E-01 -9.999E+99  3.890E+00  2.523E-01  2.323E-01  1.002E-02 -3.626E+07  1.119E+08 -6.720E+06
83091323  1.871E+01  1.862E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  3.828E+00  2.323E-01  2.323E-01  1.002E-02 -3.671E+07  1.117E+08 -6.706E+06
83091403  1.862E+01  1.871E+01  3.319E+00 -9.999E+99  1.213E-01 -9.999E+99  3.758E+00  2.735E-01  2.427E-01  2.004E-02 -3.716E+07  1.114E+08 -6.691E+06
83091407  1.862E+01  1.871E+01  3.532E+00 -9.999E+99  1.413E-01 -9.999E+99  3.846E+00  2.523E-01  2.223E-01  1.002E-02 -3.761E+07  1.112E+08 -6.676E+06
83091411  1.871E+01  1.862E+01  3.177E+00 -9.999E+99  1.413E-01 -9.999E+99  3.776E+00  2.427E-01  2.427E-01  2.004E-02 -3.806E+07  1.110E+08 -6.661E+06
83091415  1.862E+01  1.871E+01  3.776E+00 -9.999E+99  1.213E-01 -9.999E+99  3.846E+00  2.323E-01  2.427E-01  2.004E-02 -3.851E+07  1.107E+08 -6.645E+06
83091419  1.849E+01  1.862E+01  3.304E+00 -9.999E+99  1.112E-01 -9.999E+99  3.724E+00  2.523E-01  2.123E-01  2.004E-02 -3.895E+07  1.105E+08 -6.630E+06
83091423  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.954E+00  3.436E-01  2.323E-01  1.002E-02 -3.940E+07  1.102E+08 -6.614E+06
83091503  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.112E-01 -9.999E+99  3.936E+00  3.141E-01  2.223E-01  1.002E-02 -3.985E+07  1.100E+08 -6.598E+06
83091507  1.871E+01  1.879E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.954E+00  3.436E-01  2.427E-01  3.006E-02 -4.029E+07  1.097E+08 -6.582E+06
83091511  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.890E+00  3.141E-01  2.323E-01  2.004E-02 -4.074E+07  1.095E+08 -6.566E+06
83091515  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.873E+00  2.636E-01  2.523E-01  2.004E-02 -4.118E+07  1.092E+08 -6.550E+06
83091519  1.849E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.802E+00  2.427E-01  2.427E-01  2.004E-02 -4.163E+07  1.090E+08 -6.534E+06
83091523  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.793E+00  2.323E-01  2.123E-01  1.002E-02 -4.208E+07  1.087E+08 -6.517E+06
83091603  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.758E+00  2.523E-01  2.023E-01  2.004E-02 -4.253E+07  1.085E+08 -6.500E+06
83091607  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.864E+00  2.427E-01  2.123E-01  1.002E-02 -4.297E+07  1.082E+08 -6.484E+06
83091611  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.917E+00  2.427E-01  2.323E-01  1.002E-02 -4.342E+07  1.079E+08 -6.467E+06
83091615  1.862E+01  1.849E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.864E+00  2.523E-01  2.523E-01  2.004E-02 -4.387E+07  1.077E+08 -6.450E+06
83091619  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.873E+00  2.636E-01  2.023E-01  1.002E-02 -4.432E+07  1.074E+08 -6.433E+06
83091623  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.819E+00  2.427E-01  2.223E-01  2.004E-02 -4.477E+07  1.071E+08 -6.416E+06
83091703  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.819E+00  2.523E-01  2.427E-01  1.002E-02 -4.522E+07  1.069E+08 -6.398E+06
83091711  1.862E+01  1.879E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.837E+00  2.685E-01  2.223E-01  2.004E-02 -4.612E+07  1.063E+08 -6.363E+06
83091715  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  3.802E+00  2.636E-01  2.023E-01  2.004E-02 -4.657E+07  1.061E+08 -6.345E+06
83091719  1.871E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.873E+00  2.523E-01  2.523E-01  1.002E-02 -4.702E+07  1.058E+08 -6.327E+06
83091723  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.890E+00  2.523E-01  2.323E-01  2.004E-02 -4.748E+07  1.055E+08 -6.309E+06
83091803  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.864E+00  2.523E-01  2.427E-01  1.002E-02 -4.793E+07  1.052E+08 -6.291E+06
83091807  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.936E+00  2.838E-01  2.427E-01  2.004E-02 -4.838E+07  1.049E+08 -6.273E+06
83091811  1.871E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  3.882E+00  2.735E-01  2.427E-01  2.004E-02 -4.883E+07  1.046E+08 -6.255E+06
83091815  1.879E+01  1.879E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  3.936E+00  2.938E-01  2.323E-01  3.006E-02 -4.928E+07  1.044E+08 -6.236E+06
83091819  1.879E+01  1.879E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  4.027E+00  2.838E-01  2.323E-01  1.002E-02 -4.973E+07  1.041E+08 -6.217E+06
83091823  1.888E+01  1.879E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  4.074E+00  2.838E-01  2.427E-01  1.002E-02 -5.018E+07  1.038E+08 -6.199E+06
83091903  1.879E+01  1.879E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.046E+00  3.334E-01  2.427E-01  2.004E-02 -5.063E+07  1.035E+08 -6.180E+06
83091907  1.879E+01  1.888E+01 -9.999E+99 -9.999E+99  2.023E-01 -9.999E+99  4.140E+00  4.550E-01  2.523E-01  3.006E-02 -5.108E+07  1.032E+08 -6.161E+06
83091915  1.879E+01  1.879E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.560E+00  7.798E-01  2.636E-01  3.006E-02 -5.198E+07  1.026E+08 -6.122E+06
83091919  1.879E+01  1.871E+01 -9.999E+99 -9.999E+99  1.726E-01 -9.999E+99  4.325E+00  7.379E-01  2.636E-01  2.004E-02 -5.243E+07  1.023E+08 -6.103E+06
83091923  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.726E-01 -9.999E+99  4.335E+00  6.982E-01  2.938E-01  3.006E-02 -5.288E+07  1.019E+08 -6.083E+06
83092003  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.395E+00  7.603E-01  2.636E-01  3.006E-02 -5.333E+07  1.016E+08 -6.063E+06
83092007  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  2.023E-01 -9.999E+99  3.999E+00  8.610E-01  2.838E-01  4.009E-02 -5.377E+07  1.013E+08 -6.044E+06
83092011  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  2.123E-01 -9.999E+99  4.571E+00  1.009E+00  3.034E-01  5.012E-02 -5.422E+07  1.010E+08 -6.024E+06
83092015  1.841E+01  1.849E+01 -9.999E+99 -9.999E+99  2.023E-01 -9.999E+99  4.529E+00  1.040E+00  3.034E-01  4.009E-02 -5.467E+07  1.007E+08 -6.003E+06
83092019  1.841E+01  1.849E+01 -9.999E+99 -9.999E+99  2.023E-01 -9.999E+99  4.477E+00  9.311E-01  2.938E-01  6.109E-02 -5.512E+07  1.004E+08 -5.983E+06
83092023  1.841E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.519E+00  1.000E+00  2.838E-01  6.109E-02 -5.556E+07  1.000E+08 -5.962E+06
83092103  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.726E-01 -9.999E+99  4.436E+00  9.016E-01  2.938E-01  5.012E-02 -5.601E+07  9.972E+07 -5.942E+06
83092107  1.841E+01  1.849E+01 -9.999E+99 -9.999E+99  2.123E-01 -9.999E+99  4.345E+00  7.482E-01  2.636E-01  4.009E-02 -5.645E+07  9.939E+07 -5.921E+06
83092111  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.246E+00  7.295E-01  2.938E-01  3.006E-02 -5.689E+07  9.906E+07 -5.900E+06
83092115  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.227E+00  5.970E-01  2.938E-01  4.009E-02 -5.733E+07  9.873E+07 -5.879E+06
83092119  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.130E+00  6.281E-01  2.735E-01  4.009E-02 -5.777E+07  9.840E+07 -5.858E+06
83092123  1.849E+01  1.841E+01 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.150E+00  5.970E-01  2.523E-01  4.009E-02 -5.821E+07  9.807E+07 -5.836E+06
83092203  1.849E+01  1.841E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.111E+00  5.675E-01  2.523E-01  3.006E-02 -5.865E+07  9.773E+07 -5.815E+06
83092207  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.083E+00  5.260E-01  2.735E-01  4.009E-02 -5.909E+07  9.739E+07 -5.793E+06
83092211  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.009E+00  4.656E-01  2.427E-01  3.006E-02 -5.953E+07  9.705E+07 -5.771E+06
83092215  1.849E+01  1.841E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.027E+00  4.656E-01  2.523E-01  3.006E-02 -5.997E+07  9.671E+07 -5.749E+06
83092219  1.841E+01  1.841E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.074E+00  4.656E-01  2.427E-01  3.006E-02 -6.041E+07  9.636E+07 -5.727E+06
83092223  1.841E+01  1.849E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.150E+00  4.656E-01  2.523E-01  3.006E-02 -6.085E+07  9.601E+07 -5.705E+06
83092303  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.074E+00  4.446E-01  2.323E-01  3.006E-02 -6.128E+07  9.566E+07 -5.682E+06
83092307  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.093E+00  4.246E-01  2.636E-01  2.004E-02 -6.172E+07  9.531E+07 -5.659E+06
83092311  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.046E+00  4.864E-01  2.427E-01  3.006E-02 -6.215E+07  9.496E+07 -5.637E+06
83092315  1.849E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  4.046E+00  4.150E-01  2.636E-01  3.006E-02 -6.258E+07  9.461E+07 -5.614E+06
83092319  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.046E+00  4.345E-01  2.427E-01  3.006E-02 -6.301E+07  9.425E+07 -5.591E+06
83092323  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.064E+00  4.864E-01  2.323E-01  3.006E-02 -6.344E+07  9.388E+07 -5.567E+06
83092403  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.213E-01 -9.999E+99  4.036E+00  4.446E-01  2.323E-01  2.004E-02 -6.386E+07  9.352E+07 -5.544E+06
83092411  1.841E+01  1.849E+01 -9.999E+99 -9.999E+99 -9.999E+99 -9.999E+99 -9.999E+99 -9.999E+99 -9.999E+99 -9.999E+99 -6.471E+07  9.279E+07 -5.497E+06
83092415  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.188E+00  5.358E-01  2.636E-01  2.004E-02 -6.514E+07  9.242E+07 -5.473E+06
83092419  1.849E+01  1.849E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.150E+00  5.875E-01  2.427E-01  3.006E-02 -6.556E+07  9.204E+07 -5.449E+06
83092423  1.849E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.159E+00  6.180E-01  2.636E-01  3.006E-02 -6.598E+07  9.167E+07 -5.425E+06
83092503  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.246E+00  6.180E-01  2.523E-01  3.006E-02 -6.640E+07  9.129E+07 -5.400E+06
83092511  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.675E-01 -9.999E+99  4.217E+00  5.768E-01  2.588E-01  3.006E-02 -6.723E+07  9.053E+07 -5.351E+06
83092515  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.824E-01 -9.999E+99  4.169E+00  5.572E-01  2.427E-01  3.006E-02 -6.765E+07  9.014E+07 -5.326E+06
83092519  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.246E+00  6.368E-01  2.523E-01  3.006E-02 -6.806E+07  8.975E+07 -5.301E+06
83092523  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.236E+00  6.592E-01  2.523E-01  3.006E-02 -6.847E+07  8.936E+07 -5.276E+06
83092603  1.862E+01  1.862E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  4.130E+00  5.058E-01  2.223E-01  2.004E-02 -6.888E+07  8.897E+07 -5.250E+06
83092607  1.862E+01 -9.999E+99 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.046E+00  4.046E-01  2.636E-01  2.004E-02 -6.929E+07  8.858E+07 -5.225E+06
83092611  1.862E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  3.963E+00  3.750E-01  2.323E-01  2.004E-02 -6.969E+07  8.819E+07 -5.199E+06
83092615  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.312E-01 -9.999E+99  3.981E+00  3.750E-01  2.323E-01  3.006E-02 -7.010E+07  8.779E+07 -5.173E+06
83092619  1.879E+01  1.879E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.018E+00  4.345E-01  2.223E-01  2.004E-02 -7.050E+07  8.739E+07 -5.147E+06
83092623  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.413E-01 -9.999E+99  4.227E+00  6.067E-01  2.523E-01  3.006E-02 -7.090E+07  8.698E+07 -5.121E+06
83092703  1.871E+01  1.879E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.764E+00  1.072E+00  2.523E-01  3.006E-02 -7.130E+07  8.658E+07 -5.094E+06
83092707  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  5.370E+00  1.726E+00  2.523E-01  3.006E-02 -7.169E+07  8.617E+07 -5.067E+06
83092711  1.879E+01  1.871E+01 -9.999E+99 -9.999E+99  1.626E-01 -9.999E+99  5.105E+00  1.496E+00  2.323E-01  3.006E-02 -7.209E+07  8.576E+07 -5.041E+06
83092715  1.871E+01  1.871E+01 -9.999E+99 -9.999E+99  1.514E-01 -9.999E+99  4.775E+00  1.122E+00  2.523E-01  3.006E-02 -7.248E+07  8.535E+07 -5.013E+06
