VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83061419  1.633E+01  1.633E+01  2.344E+00  2.938E-01  1.012E-01  2.004E-02  3.155E+00  2.523E-01  1.816E-01  1.002E-02  1.489E+08  1.801E+07 -1.263E+06
83061423  1.675E+01  1.656E+01  3.273E+00  9.506E-01  2.427E-01  2.004E-02  3.556E+00  3.334E-01  2.523E-01  1.002E-02  1.489E+08  1.833E+07 -1.282E+06
83061503  1.803E+01 -9.999E+99  6.095E+00  2.685E+00  2.938E-01  3.006E-02  4.875E+00  9.817E-01  6.180E-01  2.004E-02  1.488E+08  1.866E+07 -1.301E+06
83061507  1.845E+01  1.730E+01  6.427E+00  2.432E+00  4.764E-01  3.006E-02  5.902E+00  1.778E+00  9.419E-01  3.006E-02  1.487E+08  1.898E+07 -1.320E+06
83061511  2.655E+01  2.014E+01  5.834E+01  4.592E+01  9.247E+00  2.523E-01 -9.999E+99  3.443E+00  1.991E+00  6.109E-02  1.486E+08  1.931E+07 -1.338E+06
83061519  3.802E+01  2.415E+01  1.164E+01  8.551E+01  6.902E+00  5.929E-01 -9.999E+99  1.358E+01  4.977E+01  1.774E-01  1.485E+08  1.997E+07 -1.376E+06
83061523  4.046E+01  2.312E+01  7.870E+01  4.831E+01  6.871E+00  5.970E-01 -9.999E+99  2.270E+01  1.892E+01  2.735E-01  1.484E+08  2.030E+07 -1.395E+06
83061603  3.673E+01  2.138E+01  6.237E+01  3.673E+01  6.383E+00  5.358E-01 -9.999E+99  2.564E+01  1.086E+01  3.846E-01  1.483E+08  2.063E+07 -1.414E+06
83061607  3.243E+01  2.000E+01  5.152E+01  3.428E+01  1.377E+01  4.764E-01 -9.999E+99  2.535E+01  1.104E+01  3.846E-01  1.482E+08  2.097E+07 -1.433E+06
83061611  2.891E+01  1.905E+01  4.932E+01  3.020E+01  5.572E+00  4.345E-01 -9.999E+99  2.410E+01  1.268E+01  3.846E-01  1.482E+08  2.130E+07 -1.453E+06
83061615  2.612E+01  1.832E+01  3.784E+01  2.291E+01  4.887E+00  3.334E-01 -9.999E+99  2.178E+01  8.892E+00  3.540E-01  1.481E+08  2.163E+07 -1.472E+06
83061619  2.443E+01  1.786E+01  3.443E+01  2.153E+01  4.721E+00  3.236E-01 -9.999E+99  2.234E+01  1.791E+01  3.648E-01  1.480E+08  2.197E+07 -1.491E+06
83061623  2.312E+01  1.762E+01  3.327E+01  2.198E+01  4.943E+00  3.846E-01 -9.999E+99  2.350E+01  1.227E+01  4.246E-01  1.479E+08  2.231E+07 -1.510E+06
83061703  2.213E+01  1.750E+01  3.266E+01  2.198E+01  4.909E+00  3.846E-01 -9.999E+99  2.280E+01  9.057E+00  4.150E-01  1.478E+08  2.264E+07 -1.529E+06
83061707  2.113E+01  1.734E+01  3.020E+01  2.080E+01  4.571E+00  3.846E-01 -9.999E+99  2.193E+01  8.241E+00  4.046E-01  1.477E+08  2.298E+07 -1.549E+06
83061711  2.004E+01  1.730E+01  2.506E+01  1.687E+01  3.690E+00  3.034E-01 -9.999E+99  1.791E+01  6.668E+00  3.436E-01  1.476E+08  2.332E+07 -1.568E+06
83061715  1.828E+01 -9.999E+99  1.107E+01  6.223E+00  1.355E+00  1.112E-01 -9.999E+99  6.266E+00  2.477E+00  1.112E-01  1.476E+08  2.366E+07 -1.587E+06
83061719  1.778E+01  1.706E+01  6.902E+00  3.155E+00  7.603E-01  7.112E-02 -9.999E+99  3.020E+00  1.644E+01  7.112E-02  1.475E+08  2.400E+07 -1.607E+06
83061723  1.758E+01  1.702E+01  6.714E+00  2.979E+00  7.482E-01  5.012E-02 -9.999E+99  1.786E+00  3.443E+00  3.006E-02  1.474E+08  2.434E+07 -1.626E+06
83061803  1.754E+01 -9.999E+99  6.427E+00  3.342E+00  7.295E-01  6.109E-02 -9.999E+99  2.483E+00  1.102E+00  5.012E-02  1.473E+08  2.468E+07 -1.645E+06
83061807  1.738E+01 -9.999E+99  5.297E+00  1.950E+00  5.058E-01  5.012E-02 -9.999E+99  1.556E+00  3.342E+00  3.006E-02  1.472E+08  2.503E+07 -1.665E+06
83061811  1.730E+01  1.694E+01  4.955E+00  1.496E+00  4.150E-01  3.006E-02 -9.999E+99  1.312E+00  6.683E-01  3.006E-02  1.471E+08  2.537E+07 -1.684E+06
83061815  1.742E+01  1.694E+01  4.955E+00  1.567E+00  4.345E-01  5.012E-02 -9.999E+99  1.355E+00  6.471E-01  4.009E-02  1.470E+08  2.571E+07 -1.704E+06
83061819  1.734E+01  1.702E+01  5.212E+00  3.184E+01  4.446E-01  3.006E-02 -9.999E+99  1.466E+00  6.982E-01  4.009E-02  1.469E+08  2.606E+07 -1.723E+06
83061823  1.722E+01  1.694E+01  5.702E+00  2.685E+01  5.260E-01  4.009E-02 -9.999E+99  1.476E+00  6.592E-01  4.009E-02  1.468E+08  2.641E+07 -1.743E+06
83061903  1.718E+01  1.690E+01  4.898E+00  1.081E+00  2.938E-01  3.006E-02 -9.999E+99  9.204E-01  5.260E-01  2.004E-02  1.467E+08  2.675E+07 -1.762E+06
83061907  1.726E+01  1.687E+01  5.297E+00  1.102E+00  3.141E-01  3.006E-02 -9.999E+99  1.000E+00  5.358E-01  3.006E-02  1.466E+08  2.710E+07 -1.782E+06
83061911  1.726E+01  1.694E+01  6.339E+00  1.403E+00  4.345E-01  3.006E-02 -9.999E+99  1.122E+00  6.592E-01  3.006E-02  1.465E+08  2.745E+07 -1.801E+06
83061915  1.738E+01 -9.999E+99  7.396E+00  8.531E+00  6.368E-01  4.009E-02 -9.999E+99  1.578E+00  8.492E-01  3.006E-02  1.464E+08  2.780E+07 -1.821E+06
83061919  1.746E+01  1.694E+01  8.690E+00  2.618E+00  7.079E-01  5.012E-02 -9.999E+99  2.382E+00  1.151E+00  4.009E-02  1.463E+08  2.815E+07 -1.840E+06
83062003  1.750E+01  1.694E+01  8.650E+00  2.559E+00  7.295E-01  4.009E-02 -9.999E+99  2.606E+00  1.262E+00  3.006E-02  1.461E+08  2.885E+07 -1.880E+06
83062007  1.758E+01  1.694E+01  9.290E+00  2.799E+00  7.907E-01  5.012E-02 -9.999E+99  2.748E+00  1.303E+00  4.009E-02  1.459E+08  2.920E+07 -1.899E+06
83062011  1.746E+01 -9.999E+99  9.057E+00  2.729E+00  7.603E-01  5.012E-02 -9.999E+99  2.624E+00  1.274E+00  4.009E-02  1.458E+08  2.955E+07 -1.919E+06
83062015  1.746E+01  1.702E+01  9.247E+00  2.979E+00  7.998E-01  6.109E-02 -9.999E+99  3.105E+00  1.384E+00  5.012E-02  1.457E+08  2.990E+07 -1.939E+06
83062019  1.746E+01  1.702E+01  9.661E+00  3.221E+00  8.395E-01  4.009E-02 -9.999E+99  3.069E+00  1.374E+00  6.109E-02  1.456E+08  3.025E+07 -1.958E+06
83062103  1.742E+01  1.702E+01  1.030E+01  3.846E+00  9.016E-01  6.109E-02 -9.999E+99  3.311E+00  1.403E+00  5.012E-02  1.454E+08  3.096E+07 -1.998E+06
83062111  1.750E+01  1.702E+01  1.377E+01  6.223E+00  1.403E+00  7.112E-02 -9.999E+99  6.339E+00  2.203E+00  9.120E-02  1.451E+08  3.167E+07 -2.037E+06
83062115  1.738E+01  1.694E+01  1.986E+01  1.156E+01  2.153E+00  1.312E-01 -9.999E+99  1.191E+01  3.296E+00  1.312E-01  1.450E+08  3.203E+07 -2.057E+06
83062119  1.734E+01  1.694E+01  2.148E+01  1.355E+01  2.355E+00  1.626E-01 -9.999E+99  1.253E+01  3.251E+00  1.413E-01  1.449E+08  3.238E+07 -2.077E+06
83062123  1.722E+01  1.675E+01  2.153E+01  1.371E+01  2.254E+00  1.413E-01 -9.999E+99  1.191E+01  2.972E+00  1.213E-01  1.448E+08  3.274E+07 -2.097E+06
